substance,common_name,alt_names,type,mechanism,source,evidence_floor,candidate,duke_uses,gn_mechanism,gn_warning,matched_chem,duke_activities,duke_superacts,n_cousins
Pomaderris elliptica,Kumarahou,,phytochemical,Cancer(Skin),Dr. Duke,,,Asthma|Bronchitis|Cancer(Skin)|Chest|Depurative|Diabetes|Heartburn|Kidney|Skin|Sore|Tuberculosis,,,,,,0
Rumex hymenosepalus,Canegeira,,phytochemical,Cancer(Skin),Dr. Duke,,,Alcoholism|Arthritis|Cancer(Skin)|Carcinogenic|Cold|Diarrhea|Poultice|Sore(Throat)|Tuberculosis,,genotoxic,,,,0
Sisymbrium sp,"Mustrad,Wild",,phytochemical,Cancer(Skin),Dr. Duke,,,Cancer(Skin),,,,,,0
Podophyllum emodi,,,phytochemical,Cancer(Skin),Dr. Duke,,,Aperient|Bilious|Cancer(Skin)|Hydragogue|Poison|Purgative|Vermifuge,,general_toxicity,,,,0
Acacia farnesiana,Cuji,,phytochemical,Cancer(Stomach),Dr. Duke,,,Ache(Head)|Alterative|Aphrodisiac|Arthritis|Astringent|Bite(Snake)|Cancer(Stomach)|Carbuncle|Cholera|Conjunctivitis|Convulsion|Delirium|Demulcent|Dysentery|Dyspepsia|Emetic|Epilepsy|Fever|Inflammation|Insanity|Insecticide|Mucous|Nausea|Ophthalmia|Parturition|Perfume|Rabies|Repellant|Rheumatism|Rinderpest|Skin|Sore|Spasm|Sterility|Stimulant|Stomachic|Tuberculosis|Tumor|Wound,,,,,,0
Acacia macracantha,Cuji,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Leprosy,,,,,,0
Aloe barbadensis,Zabida,,phytochemical,Cancer(Stomach),Dr. Duke,,,Abortifacient|Amenorrhea|Antiseptic|Asthma|Boil|Bruise|Burn|Burn(Radiation)|Cancer(Stomach)|Cathartic|Cholagogue|Cold|Cough|Decoagulant|Demulcent|Depurative|Digestive|Dyspepsia|Ecbolic|Emmenagogue|Emollient|Erysipelas|Fever|Hemorrhage|Hepatitis|Hysteria|Inflammation|Insecticide|Internulcer|Intestine|Jaundice|Lash|Laxative|Leukemia|Piles|Purgative|Rectitis|Sore|Stimulant|Stomach|Stomachic|Sunburn|Swelling|Tonic|Tumor|Ulcer|Venereal|Vermifuge|Weaning|Wound,,pregnancy_caution,,,,0
Aloe vera,Zabila,,phytochemical,Cancer(Stomach),Dr. Duke,,,Ache(Head)|Alopecia|Aperient|Asthma|Burn|Cancer(Stomach)|Chest|Congestion|Convulsion|Cough|Eczema|Excrescence|Fever|Gonorrhea|Laxative|Pregnancy|Purgative|Skin|Stomachic|Swelling|Tuberculosis|Vermifuge,,,,,,0
Amomum xanthioides,,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Cancer(Uterus)|Nausea|Sore(Throat)|Stomachic|Stomatitis|Tonic,,,,,,0
Aralia elata,Tara-No-Ki,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Diabetes|Food|Nephrosis,,,,,,0
Arisaema amurense,Tian Nan Xing,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach),,,,,,0
Arisaema heteroiphyllum,Tian Nan Xing,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach),,,,,,0
Asarum sagittarioides,Shan Ci Gu,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Tumor(Lung),,,,,,0
Berberis vulgaris,Epine Vinette,,phytochemical,Cancer(Stomach),Dr. Duke,,,Ache(Stomach)|Alterative|Antiseptic|Cancer(Stomach)|Cholagogue|Diuretic|Dysentery|Dyspepsia|Expectorant|Fever|Hemorrhage|Jaundice|Laxative|Medicine|Purgative|Tonic|Uterotonic,,pregnancy_caution,,,,0
Brasenia schreberi,Shui K'Uei,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer|Cancer(Stomach),,,,,,0
Brassica hirta,Mustard,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Tumor(Abdomen),,,,,,0
Bursera simaruba,Indio Desnudo,,phytochemical,Cancer(Stomach),Dr. Duke,,,Ache(Back)|Ache(Stomach)|Antiseptic|Aphrodisiac|Bite(Snake)|Calculus|Cancer(Stomach)|Cystitis|Debility|Depilatory|Diaphoretic|Diarrhea|Diuretic|Dropsy|Dysentery|Enterorrhagia|Expectorant|Fever|Gangrene|Hernia|Hunger|Impotency|Intestine|Kneecap|Lactogogue(Veterinary)|Nephritis|Obesity|Purgative|Rash|Renitis|Repellant(Insect)|Rheumatism|Sore|Stomach|Strain|Swelling|Tumor|Venereal|Vulnerary|Wound|Yellow Fever,,,,,,0
Coptis chinensis,Huang Lian,,phytochemical,Cancer(Stomach),Dr. Duke,,,Alexiteric|Analgesic|Bactericide|Cancer(Stomach)|Canker|Conjunctivitis|Diarrhea|Dyspepsia|Emaciation|Epistaxis|Fever|Hematemesis|Nausea|Restlessness|Scabies|Sore|Spasm,,,,,,0
Cremastra variabilis,Shan Ci Gu,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Tumor(Lung),,,,,,0
Cucumis melo,,,phytochemical,Cancer(Stomach),Dr. Duke,,,Anasarca|Antivinous|Bruise|Cancer|Cancer(Stomach)|Cold|Coryza|Cough|Diabetes|Digestive|Diuretic|Dyspepsia|Dysuria|Eczema|Emetic|Emmenagogue|Extravasation|Gonorrhea|Jaundice|Menorrhagia|Micturition|Oliguria|Polypus|Preventitive(Sunstroke)|Refrigerant|Stomatitis|Taenifuge|Tumor|Vermifuge,,pregnancy_caution,,,,0
Curcuma pallida,,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach),,,,,,0
Euphorbia cyparissias,,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Diarrhea|Emetic|Poison|Purgative|Wart,,general_toxicity,,,,0
Grindelia camporum,Grindelia,,phytochemical,Cancer(Stomach),Dr. Duke,,,Antispasmodic|Asthma|Asthma (Hay)|Asthma (Ivy)|Bronchial-Asthma|Bronchitis|Burn|Cancer(Stomach)|Diuretic|Expectorant|Hypotension|Pertussis|Sedative|Spasm|Tonic,,,,,,0
Grindelia squarrosa,Grindelia,,phytochemical,Cancer(Stomach),Dr. Duke,,,Ache(Stomach)|Antidote(Rhus)|Antitussive|Arthritis|Asthma|Bronchitis|Cancer(Stomach)|Cold|Cough|Expectorant|Fever|Gonorrhea|Hepatitis|Kidney|Liver|Lung|Pertussis|Pneumonia|Rash|Rheumatism|Smallpox|Sore(Veterinary)|Spasm|Stimulant|Syphilis|Tuberculosis|Urogenital,,,,,,0
Hibiscus abelmoschus,Kostuli,,phytochemical,Cancer(Stomach),Dr. Duke,,,Ache(Head)|Cancer(Stomach)|Cosmetic|Cystitis|Diuretic|Dysuria|Fever|Gonorrhea|Rheumatism|Varicosity,,,,,,0
Houttuynia cordata,Zyuyaku,,phytochemical,Cancer(Stomach),Dr. Duke,,,Abscess|Alexiteric|Anodyne|Antidote|Antiseptic|Anus|Aperient|Astringent|Bactericide|Bite(Snake)|Bones|Cancer(Stomach)|Chest|Cough|Diuretic|Dysentery|Dyspepsia|Emmenagogue|Enteritis|Eye|Female|Fertility(Veterinary)|Fever|Gastritis|Gonorrhea|Internulcer|Laryngitis|Lung|Malaria|Measles|Pertussis|Pharyngitis|Piles|Poison|Prolapse|Refrigerant|Resolvent|Skin|Sore|Suppurative|Swelling|Tumor(Lung)|Urethritis|Urogenital|Vesicant,,general_toxicity;pregnancy_caution,,,,0
Hypericum perforatum,St John'Swort,,phytochemical,Cancer(Stomach),Dr. Duke,,,Abortifacient|Alopecia|Anodyne|Antibiotic|Antiseptic|Astringent|Bactericide|Cancer(Stomach)|Catarrh|Cholagogue|Depression|Diarrhea|Digestive|Diuretic|Emmenagogue|Expectorant|Gastrointestinal|Kidney|Lumbago|Lung|Nervine|Phototoxic|Poison|Resolvent|Rheumatism|Sore|Stimulant|Sunburn|Swelling|Tumor|Urogenital|Uterotonic|Vermicide|Vermifuge|Vulnerary|Wound,,general_toxicity;pregnancy_caution,,,,0
Lycopodium sp,Groundpine,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Diuretic|Dysuria|Fever|Hematuria|Lithontriptic|Sedative,,,,,,0
Mallotus japonicus,Akame-Gasiwa,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Gastric-Ulcer|Hyperacidity|Stomachic,,,,,,0
Malva sylvestris,,,phytochemical,Cancer(Stomach),Dr. Duke,,,Abscess|Ache(Tooth)|Antiseptic|Cancer(Stomach)|Catarrh|Cold|Cough|Demulcent|Dyspepsia|Emollient|Expectorant|Inflammation|Intestine|Laxative|Lubricative|Lung|Nerves|Pectoral|Pertussis|Refrigerant|Tea|Tumor|Tumor(Neck)|Urogenital,,,,,,0
Mentha arvensis,,,phytochemical,Cancer(Stomach),Dr. Duke,,,Ache|Ache(Ear)|Ache(Head)|Ache(Tooth)|Anesthetic|Antiseptic|Bactericide|Balsamic|Beri-Beri|Bite(Bug)|Bite(Snake)|Cancer(Stomach)|Carminative|Cold|Cold sore|Conjunctivitis|Cough|Dermatitis|Diaphoretic|Diarrhea|Dyspepsia|Edema|Epistaxis|Febrifuge|Fever|Flu|Flux|Fungicide|Itch|Measles|Menthol|Nausea|Nose|Ophthalmia|Pharyngitis|Pruritis|Refrigerant|Repellant(Insect)|Rheumatism|Sore|Sore(Throat)|Spasm|Stimulant|Stomachic|Swelling|Tea|Throat|Tumor|Tumor(Nose),,,,,,0
Ocimum basilicum,Albahaca,,phytochemical,Cancer(Stomach),Dr. Duke,,,Ache(Ear)|Ache(Head)|Ache(Tooth)|Alcoholism|Alexiteric|Anasarca|Anodyne|Antidote(Alcohol)|Antiphlogistic|Aphrodisiac|Ardor|Asthma|Bite(Bug)|Bite(Dog)|Bite(Snake)|Cancer(Stomach)|Carminative|Cephalgia|Cholera|Circulation|Colic|Collapse|Convulsion|Cordial|Cosmetic|Cough|Croup|Cyanogenetic|Deafness|Delirium|Demulcent|Depression|Diaphoretic|Diarrhea|Digestive|Diuretic|Dropsy|Dysentery|Emmenagogue|Epilepsy|Expectorant|Eye|Fever|Fungicide|Gonorrhea|Gout|Gravel|Halitosis|Hemiplegia|Hiccup|Infection|Inflammation|Insecticide|Insectifuge|Kidney|Labor|Lactogogue|Liqueur|Medicine|Myosis|Narcotic|Nausea|Opacity|Parturition|Pectoral|Perfume|Piles|Polypus|Refrigerant|Repellant(Insect)|Ringworm|Rodent-Ulcer|Sinus|Sore|Sore(Throat)|Spasm|Spice|Stimulant|Stomach|Stomachic|Sudorific|Throat|Tumor|Tumor(Diaphragm)|Vermifuge|Wart,,pregnancy_caution,,,,0
Piper angustifolium,Matico,,phytochemical,Cancer(Stomach),Dr. Duke,,,Antiseptic|Astringent|Balsamic|Bronchitis|Cancer|Cancer(Stomach)|Decubitus|Diuretic|Fibroma(Uterus)|Hemostat|Pleurisy|Pneumonia|Respiratory|Stimulant|Stomach|Styptic|Trichomoniasis|Ulcer|Urogenital|Uterus|Vaginitis|Venereal|Wound,,,,,,0
Piptadenia flava,Cuji,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach),,,,,,0
Pleione bulbocodioides,Shan Ci Gu,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Tumor(Lung),,,,,,0
Quercus pedunculata,Encina,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Wart,,,,,,0
Rheum palmatum,Da Huang,,phytochemical,Cancer(Stomach),Dr. Duke,,,Aperient|Astringent|Cancer(Stomach)|Stomachic|Tonic|Tumor(Spleen),,,,,,0
Rheum tanguticum,Da Huang,,phytochemical,Cancer(Stomach),Dr. Duke,,,Amenorrhea|Aperient|Cancer(Stomach)|Constipation|Diarrhea|Fever|Hemorrhage|Hepatitis|Intestine|Jaundice|Laxative|Stomach|Stomachic,,,,,,0
Samanea saman,Cuji,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Cold|Intestine|Poison,,general_toxicity,,,,0
Sambucus australis,Sauco,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Diuretic|Dyspepsia|Intoxicant|Poison|Sudorific,,general_toxicity,,,,0
Teucrium scordonia,Gamander,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Tumor,,,,,,0
Tilia europaea,Tilo,,phytochemical,Cancer(Stomach),Dr. Duke,,,Cancer(Stomach)|Hysteria|Indigestion,,,,,,0
Tulipa edulis,Shan Ci Gu,,phytochemical,Cancer(Stomach),Dr. Duke,,,Abscess|Alterative|Bite(Bug)|Blood|Breast|Bubo|Cancer(Breast)|Cancer(Stomach)|Carbuncle|Nutrient|Poison|Rabies|Scrofula|Struma|Tonic|Tumor|Tumor(Lung)|Urogenital|Wound,,general_toxicity,,,,0
Acaena sp,Buzzies,,phytochemical,Cancer(Throat),Dr. Duke,,,Cancer(Throat),,,,,,0
Aloe arborescens,,,phytochemical,Cancer(Throat),Dr. Duke,,,Cancer(Throat),,,,,,0
Ceterach officinarum,Spleenwort,,phytochemical,Cancer(Throat),Dr. Duke,,,Cancer(Throat)|Cough,,,,,,0
Limosella aquatica,Mudwort,,phytochemical,Cancer(Throat),Dr. Duke,,,Cancer(Throat)|Divination,,,,,,0
Aquilaria agallocha,Chen Xiang,,phytochemical,Cancer(Thyroid),Dr. Duke,,,Abdomen|Anodyne|Aphrodisiac|Asthma|Cancer|Cancer(Thyroid)|Carminative|Chest|Colic|Congestion|Diarrhea|Diuretic|Evil eye|Gastralgia|Hiccup|Kidney|Nausea|Repellant(Insect)|Skin|Stimulant|Stomachic|Tonic|Tumor(Abdomen)|Tumor(Lung),,,,,,0
Fritillaria cirrhosa,Bei Mu,,phytochemical,Cancer(Thyroid),Dr. Duke,,,Asthma|Bronchitis|Cancer(Thyroid)|Tuberculosis|Tumor(Lung),,,,,,0
Fritillaria delavayi,Bei Mu,,phytochemical,Cancer(Thyroid),Dr. Duke,,,Cancer(Thyroid)|Tumor(Lung),,,,,,0
Liriope graminifolia,Mai Dong,,phytochemical,Cancer(Thyroid),Dr. Duke,,,Aphrodisiac|Cancer(Thyroid)|Cough|Dysentery|Fever|Lung|Tonic|Tumor(Lung),,,,,,0
Paeonia suffruticosa,Dang Pi,,phytochemical,Cancer(Thyroid),Dr. Duke,,,Amenorrhea|Anodyne|Antispasmodic|Appendicitis|Bactericide|Cancer(Breast)|Cancer(Thyroid)|Decoagulant|Fatigue|Fever|Hematemesis|Hemostatic|Hypertension|Tumor,,,,,,0
Cimicifuga racemosa,Cimicifuga,,phytochemical,Cancer(Tongue),Dr. Duke,,,Alterative|Bite(Snake)|Bronchitis|Cancer(Tongue)|Chorea|Dysmenorrhea|Emmenagogue|Female|Itch|Kidney|Malaise|Malaria|Medicine|Nerves|Parturition|Rheumatism|Sedative|Sore(Throat)|Stomachic|Sudorific|Tonic|Tumor|Uterus|Yellow Fever,,pregnancy_caution,,,,0
Collinsonia sp,Collinsonia,,phytochemical,Cancer(Tongue),Dr. Duke,,,Cancer(Tongue),,,,,,0
Hydrangea arborescens,Hydrangea,,phytochemical,Cancer(Tongue),Dr. Duke,,,Alterative|Bactericide|Cancer(Tongue)|Diaphoretic|Diuretic|Kidney|Laxative|Medicine|Narcotic|Nephritis|Nightmare|Purgative|Sialogogue|Stomachic|Stone|Tonic,,,,,,0
Lens culinaris,Lentil,,phytochemical,Cancer(Toothh),Dr. Duke,,,Cancer(Toothh)|Scurvy|Tumor(Abdomen)|Ulcer,,,,,,0
Aconitum fischeri,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Allium fistulosum,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Ache(Head)|Cancer(Uterus)|Diaphoretic|Fever,,,,,,0
Allium montanum,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Allium volhynicum,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Arctotis sp,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Astragalus hoantchy,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cachexia|Cancer(Uterus)|Debility|Diuretic|Fever|Leukemia|Malaria|Pectoral|Tonic,,,,,,0
Atractylis sp,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Brosimum alicastrum,Caucho Macho,,phytochemical,Cancer(Uterus),Dr. Duke,,,Asthma|Bronchitis|Cancer(Uterus)|Chest|Coffee|Galactogogue|Lactagogue|Sedative,,,,,,0
Cinnamomum sp,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Anodyne|Boil|Cancer(Uterus)|Evil eye|Rubefacient,,,,,,0
Cryptostemma sp,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Dimocarpus longan,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Antidote|Cancer(Uterus)|Intellect|Perspiration|Spleen|Vermifuge,,,,,,0
Dimorphotheca sp,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Filipendula hexapetala,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Bladder stone|Blennorrhea|Cancer(Uterus)|Dropsy|Epilepsy|Gout|Kidney stones|Parasite|Respiratory,,,,,,0
Lappa tomentosa,Bardane A Tetes Cotonneuses,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Lophanthus rugosus,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus)|Carminative|Cholera|Deodorant|Halitosis|Hangover|Mouthwash|Nausea|Pregnancy|Stomachic,,,,,,0
Mimosa sensitiva,Adormidera,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Orobanche ammophylla,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Pachycereus pringlei,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Ache|Bruise|Cancer(Uterus)|Rheumatism|Wound,,,,,,0
Peganum harmala,"Rue,Wild",,phytochemical,Cancer(Uterus),Dr. Duke,,,Abortifacient|Alterative|Anodyne|Aphrodisiac|Asthma|CNS depressant|CNS stimulant|Calculus|Cancer(Uterus)|Colic|Diuretic|Dysmenorrhea|Emetic|Emmenagogue|Eye|Eyesight|Fever|Fumigant|Hiccup|Hysteria|Intoxicant|Jaundice|Lactogogue|Laryngitis|Malaria|Narcotic|Nerves|Neuralgia|Parkinsonianism|Parkinsonism|Pediculicide|Poison|Repellant(Insect)|Rheumatism|Soporific|Stimulant|Stupefacient|Sudorific|Urogenital|Vermifuge,,general_toxicity;pregnancy_caution,,,,0
Plantago psyllium,Psyllium,,phytochemical,Cancer(Uterus),Dr. Duke,,,Antidiarrheic|Antitussive|Cancer(Uterus)|Demulcent|Emollient|Expectorant|Inflammation|Laxative|Purgative|Rheumatism,,,,,,0
Polygonum maritimum,Knotgrass,,phytochemical,Cancer(Uterus),Dr. Duke,,,Burn|Cancer(Uterus)|Wound,,,,,,0
Sapium sp,Caucho Criollo Hembra,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus)|Poison(Arrow),,general_toxicity,,,,0
Schrankia sp,Adormidero,,phytochemical,Cancer(Uterus),Dr. Duke,,,Cancer(Uterus),,,,,,0
Spondias mombin,Jobo Macho,,phytochemical,Cancer(Uterus),Dr. Duke,,,Anodyne|Antiseptic|Asthma|Astringent|Cancer(Uterus)|Cold|Congestion|Cough|Diarrhea|Diuretic|Erysipelas|Exhaustion|Expectorant|Eye|Fever|Gargle|Gonorrhea|Inflammation|Internal|Laxative|Leprosy|Liqueur|Malignancy|Nephritis|Ophthalmia|Poison|Purgative|Soap|Sore|Sore(Throat)|Spasm|Swelling|Taenifuge|Thrush|Tumor|Urethritis|Vermifuge|Vulnerary|Water|Wound,,general_toxicity,,,,0
Ziziphus vulgaris,,,phytochemical,Cancer(Uterus),Dr. Duke,,,Abdomen|Ague|Amnesia|Anodyne|Antidote(Aconite)|Apprehension|Cancer(Uterus)|Demulcent|Depurative|Diaphoretic|Eruption|Eye|Fever|Hair-Tonic|Hematinic|Inflammation|Insomnia|Laxative|Marasmus|Nausea|Nervine|Poultice|Pregnancy|Sedative|Tonic|Typhoid|Vertigo|Viscera|Wound,,,,,,0
Anemarrhena asphodeloides,,,phytochemical,Cancer,Dr. Duke,,,Antiphlogistic|Antipyretic|Cancer|Cough|Diuretic|Dysuria|Ejaculation|Eruption|Expectorant|Febrifuge|Fever|Hyperglycemia|Laxative|Lenitive|Lumbago|Refrigerant|Sedative|Sweating|Thirst|Tinnitus|Vertigo,,,,,,0
Bidens bipinnata,,,phytochemical,Cancer,Dr. Duke,,,Bite(Snake)|Cancer|Debility|Hemorrhage|Jaundice|Rheumatism,,,,,,0
Camptotheca acuminata,,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Clematis chinensis,,,phytochemical,Cancer,Dr. Duke,,,Ache(Back)|Ache(Stomach)|Analgesic|Anodyne|Arthritis|Cancer|Carminative|Diuretic|Fever|Lumbago|Neoplasm|Rheumatism|Tetanus,,,,,,0
Hypericum japonicum,,,phytochemical,Cancer,Dr. Duke,,,Ache(Tooth)|Alterative|Asthma|Astringent|Bite(Snake)|Cancer|Cold|Contusion|Dysentery|Hernia|Jaundice|Leech|Odontectomy|Styptic|Vulnerary|Vulneric,,,,,,0
Maytenus ovatus,,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Podophyllum peltatum,Mayapple,,phytochemical,Cancer,Dr. Duke,,,Aperient|Bile|Bilious|Bowel|Cancer|Emetic|Fever|Hydragogue|Jaundice|Laxative|Liver|Medicine|Poison|Purgative|Syphilis|Tonic|Tumor|Vermifuge|Wart,,general_toxicity,,,,0
Polygonum cuspidatum,,,phytochemical,Cancer,Dr. Duke,,,Abscess|Alexiteric|Aperient|Appendicitis|Arthritis|Bite(Snake)|Boil|Bruise|Burn|Cancer|Diuretic|Dysmenorrhea|Ecchymosis|Fever|Gonadotrophic|Gonorrhea|Gout|Hepatitis|Jaundice|Medicine|Metroxenia|Poison|Preventitive(Epidemic)|Puerperium|Purgative|Refrigerant|Regeneration|Rheumatism|Swelling|Trauma,,general_toxicity,,,,0
Stereospermum suaveolens,,,phytochemical,Cancer,Dr. Duke,,,Asthma|Brain|Bronchitis|Cancer|Chest|Diuretic|Dysentery|Fever|Hematuria|Hiccup|Hyperglycemia|Inflammation|Malaria|Phthisis|Polyp(Nose)|Puerperium|Rinderpest|Tonic|Tumor(Abdomen)|Viricide,,,,,,0
Taxodium distichum,,,phytochemical,Cancer,Dr. Duke,,,Cancer|Carminative|Diuretic|Tumor|Vulnerary|Wound,,,,,,0
Tetrastigma serrulatum,,,phytochemical,Cancer,Dr. Duke,,,Cancer,,,,,,0
Urginea indica,,,phytochemical,Cancer,Dr. Duke,,,Amebiasis|Asthma|Bronchitis|Bruise|Cancer|Cardiotonic|Cathartic|Corn|Cough|Cyanogenetic|Diuretic|Emetic|Expectorant|Hyperglycemia|Leukemia|Rheumatism|Tumor,,,,,,0
Vernonia amygdalina,,,phytochemical,Cancer,Dr. Duke,,,Antidote|Apertif|Cancer|Chewstick|Cough|Dentifrice|Diarrhea|Digestive|Diuretic|Enteritis|Fever|Gastritis|Gonorrhea|Infection|Itch|Laxative|Metrorrhagia|Pneumonia|Purgative|Ringworm|Scurvy|Skin|Stomachic|Tonic|Venereal|Yaws,,,,,,0
Vernonia cinerea,,,phytochemical,Cancer,Dr. Duke,,,Ache(Head)|Ache(Stomach)|Alexipharmic|Amebiasis|Antidote|Cancer|Cholera|Colic|Cough|Diaphoretic|Diarrhea|Dysentery|Dyspepsia(Veterinary)|Dysuria|Eczema|Fever|Guineaworms|Herpes|Impotency|Incontinence|Labor|Lactogogue|Leucoderma|Malaria|Night-Blindness|Pediculicide|Psoriasis|Ringworm|Skin|Splenitis|Swelling(Veterinary)|Throat(Veterinary)|Tumor|Vermifuge,,,,,,0
Zanthoxylum gilletii,,,phytochemical,Cancer,Dr. Duke,,,Ache(Back)|Ache(Tooth)|Cancer|Lumbago|Narcotic|Palpitation|Rheumatism|Smallpox|Syphilis|Throat|Urogenital,,,,,,0
Asclepias curassavica,,,phytochemical,Cancer,Dr. Duke,,,Ache(Head)|Adulterant|Anthelminthic|Astringent|Cancer|Caries|Depurative|Diaphoretic|Dysentery|Emetic|Fever|Gonorrhea|Hemostat|Hemostatic|Leprosy|Leucorrhea|Pectoral|Piles|Poison|Poison(Veterinary)|Purgative|Rabies|Sore|Sternutatory|Styptic|Sudorific|Tuberculosis|Tumor(Abdomen)|Venereal|Vermifuge|Vulnerary|Wart,,general_toxicity,,,,0
Alpinia antillarum,,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma,,,,,,0
Bocconia cordata,Po Lo Hui,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma|Polyp|Wart,,,,,,0
Celosia scabra,,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma,,,,,,0
Fumaria bulbosa,Kapnos,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma,,,,,,0
Fumaria parviflora,,,phytochemical,Carcinoma,Dr. Duke,,,Anodyne|Boil|Carcinoma|Depurative|Diuretic|Fever|Laxative|Spasm|Swelling|Tonic|Wound,,,,,,0
Magnolia hypoleuca,,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma|Deobstruent|Eye|Halitosis|Laxative|Polyuria|Sore|Tonic,,,,,,0
Nerium oleander,Adelfa,,phytochemical,Carcinoma,Dr. Duke,,,Aposteme|Atheroma|Carcinoma|Cardiac|Cardiotonic|Corn|Cyanogenetic|Diuretic|Emetic|Epithelioma|Eruption|Fatality|Homicide|Insecticide|Parasiticide|Poison|Psoriasis|Purgative|Raticide|Repellant(Insect)|Rodenticide|Scabies|Skin|Sore|Sternutatory|Stimulant|Tonic|Tumor|Wart|Weakness,,general_toxicity,,,,0
Papaver argemone,Argemone,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma|Sudorific,,,,,,0
Pedilanthus tithymaloides,Itamo Real,,phytochemical,Carcinoma,Dr. Duke,,,Bite(Centipede)|Carcinoma|Caustic|Corn|Emetic|Emmenagogue|Hernia|Leucoderma|Medicine|Poison|Syphilis|Tumor|Umbilicus|Venereal|Wart,,general_toxicity;pregnancy_caution,,,,0
Pinus koraiensis,Haisung,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma|Longevity|Nutrient|Tonic,,,,,,0
Quassia amara,Quassia,,phytochemical,Carcinoma,Dr. Duke,,,Astringent|Bite(Snake)|Cancer|Carcinoma|Diarrhea|Digestive|Diuretic|Dysentery|Dyspepsia|Fever|Hyperglycemia|Insecticide|Laxative|Liver|Malaria|Medicine|Stimulant|Stomachic|Tonic|Vermicide|Vermifuge,,,,,,0
Ranunculus pubescens,,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma,,,,,,0
Rhynchospermum jasminoides,Lo Shih,,phytochemical,Carcinoma,Dr. Duke,,,Bite(Snake)|Carcinoma|Gonorrhea|Restorative|Sciatica|Senility|Tonic|Wound,,,,,,0
Solandra hirsuta,,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma,,,,,,0
Tetraclinis articulata,Sandaracha,,phytochemical,Carcinoma,Dr. Duke,,,Carcinoma|Dentistry|Diarrhea|Gout|Masticatory|Piles|Rheumatism,,,,,,0
